10808,OLDWO,7,1998-01-01 00:00:00,1998-01-09 00:00:00,227,65
10809,WELLI,7,1998-01-01 00:00:00,1998-01-07 00:00:00,24,35
10810,LAUGB,7,1998-01-01 00:00:00,1998-01-07 00:00:00,21,65
10811,LINOD,1,1998-01-02 00:00:00,1998-01-08 00:00:00,156,10
10812,REGGC,3,1998-01-02 00:00:00,1998-01-12 00:00:00,298,90
10813,RICAR,1,1998-01-05 00:00:00,1998-01-09 00:00:00,236,90
10814,VICTE,3,1998-01-05 00:00:00,1998-01-14 00:00:00,654,70
10815,SAVEA,7,1998-01-05 00:00:00,1998-01-14 00:00:00,73,10
10816,GREAL,4,1998-01-06 00:00:00,1998-02-04 00:00:00,3598,90
10817,KOENE,3,1998-01-06 00:00:00,1998-01-13 00:00:00,1530,35
10818,MAGAA,7,1998-01-07 00:00:00,1998-01-12 00:00:00,327,40
10819,CACTU,7,1998-01-07 00:00:00,1998-01-16 00:00:00,98,80
10820,RATTC,3,1998-01-07 00:00:00,1998-01-13 00:00:00,187,60
10821,SPLIR,1,1998-01-08 00:00:00,1998-01-15 00:00:00,183,40
10822,TRAIH,6,1998-01-08 00:00:00,1998-01-16 00:00:00,,35
10823,LILAS,3,1998-01-09 00:00:00,1998-01-13 00:00:00,819,85
10824,FOLKO,1,1998-01-09 00:00:00,1998-01-30 00:00:00,6,15
10825,DRACD,1,1998-01-09 00:00:00,1998-01-14 00:00:00,396,25
10826,BLONP,6,1998-01-12 00:00:00,1998-02-06 00:00:00,35,45
10827,BONAP,1,1998-01-12 00:00:00,1998-02-06 00:00:00,317,70
10828,RANCH,9,1998-01-13 00:00:00,1998-02-04 00:00:00,454,25
10829,ISLAT,9,1998-01-13 00:00:00,1998-01-23 00:00:00,773,60
10830,TRADH,4,1998-01-13 00:00:00,1998-01-21 00:00:00,409,15
10831,SANTG,3,1998-01-14 00:00:00,1998-01-23 00:00:00,360,95
10832,LAMAI,7,1998-01-14 00:00:00,1998-01-19 00:00:00,216,30
10833,OTTIK,6,1998-01-15 00:00:00,1998-01-23 00:00:00,357,45
10834,TRADH,1,1998-01-15 00:00:00,1998-01-19 00:00:00,148,90
10835,ALFKI,1,1998-01-15 00:00:00,1998-01-21 00:00:00,347,65
10836,ERNSH,7,1998-01-16 00:00:00,1998-01-21 00:00:00,2059,40
10837,BERGS,9,1998-01-16 00:00:00,1998-01-23 00:00:00,66,60
10838,LINOD,3,1998-01-19 00:00:00,1998-01-23 00:00:00,296,40
10839,TRADH,3,1998-01-19 00:00:00,1998-01-22 00:00:00,177,15
10840,LINOD,4,1998-01-19 00:00:00,1998-02-16 00:00:00,13,55
10841,SUPRD,3,1998-01-20 00:00:00,1998-01-29 00:00:00,2121,50
