10248,VINET,3,1996-07-04 00:00:00,1996-07-16 00:00:00,161,90
10249,TOMSP,6,1996-07-05 00:00:00,1996-07-10 00:00:00,58,05
10250,HANAR,4,1996-07-08 00:00:00,1996-07-12 00:00:00,329,15
10251,VICTE,3,1996-07-08 00:00:00,1996-07-15 00:00:00,206,70
10252,SUPRD,4,1996-07-09 00:00:00,1996-07-11 00:00:00,256,50
10253,HANAR,3,1996-07-10 00:00:00,1996-07-16 00:00:00,290,85
10254,CHOPS,3,1996-07-11 00:00:00,1996-07-23 00:00:00,114,90
10255,RICSU,9,1996-07-12 00:00:00,1996-07-15 00:00:00,741,65
10256,WELLI,3,1996-07-15 00:00:00,1996-07-17 00:00:00,69,85
10257,HILAA,4,1996-07-16 00:00:00,1996-07-22 00:00:00,409,55
10258,ERNSH,1,1996-07-17 00:00:00,1996-07-23 00:00:00,702,55
10259,CENTC,4,1996-07-18 00:00:00,1996-07-25 00:00:00,16,25
10260,OTTIK,4,1996-07-19 00:00:00,1996-07-29 00:00:00,275,45
10261,QUEDE,4,1996-07-19 00:00:00,1996-07-30 00:00:00,15,25
10262,RATTC,1,1996-07-22 00:00:00,1996-07-25 00:00:00,241,45
10263,ERNSH,9,1996-07-23 00:00:00,1996-07-31 00:00:00,730,30
10264,FOLKO,6,1996-07-24 00:00:00,1996-08-23 00:00:00,18,35
10265,BLONP,7,1996-07-25 00:00:00,1996-08-12 00:00:00,276,40
10266,WARTH,3,1996-07-26 00:00:00,1996-07-31 00:00:00,128,65
10267,FRANK,4,1996-07-29 00:00:00,1996-08-06 00:00:00,1042,90
10268,GROSR,1,1996-07-30 00:00:00,1996-08-02 00:00:00,331,45
10269,WHITC,3,1996-07-31 00:00:00,1996-08-09 00:00:00,22,80
10270,WARTH,1,1996-08-01 00:00:00,1996-08-02 00:00:00,682,70
10271,SPLIR,6,1996-08-01 00:00:00,1996-08-30 00:00:00,22,70
10272,RATTC,6,1996-08-02 00:00:00,1996-08-06 00:00:00,490,15
10273,QUICK,3,1996-08-05 00:00:00,1996-08-12 00:00:00,380,35
10274,VINET,6,1996-08-06 00:00:00,1996-08-16 00:00:00,30,05
10275,MAGAA,1,1996-08-07 00:00:00,1996-08-09 00:00:00,134,65
10276,TORTU,1,1996-08-08 00:00:00,1996-08-14 00:00:00,69,20
10277,MORGK,7,1996-08-09 00:00:00,1996-08-13 00:00:00,628,85
10278,BERGS,1,1996-08-12 00:00:00,1996-08-16 00:00:00,463,45
10279,LEHMS,1,1996-08-13 00:00:00,1996-08-16 00:00:00,129,15
10280,BERGS,7,1996-08-14 00:00:00,1996-09-12 00:00:00,44,90
10281,ROMEY,4,1996-08-14 00:00:00,1996-08-21 00:00:00,14,70
10282,ROMEY,4,1996-08-15 00:00:00,1996-08-21 00:00:00,63,45
10283,LILAS,3,1996-08-16 00:00:00,1996-08-23 00:00:00,424,05
10284,LEHMS,4,1996-08-19 00:00:00,1996-08-27 00:00:00,382,80
10285,QUICK,1,1996-08-20 00:00:00,1996-08-26 00:00:00,384,15
10286,QUICK,1,1996-08-21 00:00:00,1996-08-30 00:00:00,1146,20
10287,RICAR,1,1996-08-22 00:00:00,1996-08-28 00:00:00,63,80
10288,REGGC,4,1996-08-23 00:00:00,1996-09-03 00:00:00,37,25
10289,BSBEV,7,1996-08-26 00:00:00,1996-08-28 00:00:00,113,85
10290,COMMI,1,1996-08-27 00:00:00,1996-09-03 00:00:00,398,50
10291,QUEDE,6,1996-08-27 00:00:00,1996-09-04 00:00:00,,32
10292,TRADH,1,1996-08-28 00:00:00,1996-09-02 00:00:00,6,75
10293,TORTU,1,1996-08-29 00:00:00,1996-09-11 00:00:00,105,90
10294,RATTC,4,1996-08-30 00:00:00,1996-09-05 00:00:00,736,30
10295,VINET,7,1996-09-02 00:00:00,1996-09-10 00:00:00,5,75
10296,LILAS,6,1996-09-03 00:00:00,1996-09-11 00:00:00,,60
10297,BLONP,3,1996-09-04 00:00:00,1996-09-10 00:00:00,28,70
10298,HUNGO,6,1996-09-05 00:00:00,1996-09-11 00:00:00,841,10
10299,RICAR,4,1996-09-06 00:00:00,1996-09-13 00:00:00,148,80
10300,MAGAA,7,1996-09-09 00:00:00,1996-09-18 00:00:00,88,40
10301,WANDK,1,1996-09-09 00:00:00,1996-09-17 00:00:00,225,40
10302,SUPRD,4,1996-09-10 00:00:00,1996-10-09 00:00:00,31,35
10303,GODOS,7,1996-09-11 00:00:00,1996-09-18 00:00:00,539,15
10304,TORTU,1,1996-09-12 00:00:00,1996-09-17 00:00:00,318,95
10305,OLDWO,1,1996-09-13 00:00:00,1996-10-09 00:00:00,1288,10
10306,ROMEY,1,1996-09-16 00:00:00,1996-09-23 00:00:00,37,80
10307,LONEP,7,1996-09-17 00:00:00,1996-09-25 00:00:00,2,80
10308,ANATR,7,1996-09-18 00:00:00,1996-09-24 00:00:00,8,05
10309,HUNGO,3,1996-09-19 00:00:00,1996-10-23 00:00:00,236,50
10310,THEBI,1,1996-09-20 00:00:00,1996-09-27 00:00:00,87,60
10311,DUMON,1,1996-09-20 00:00:00,1996-09-26 00:00:00,123,45
10312,WANDK,7,1996-09-23 00:00:00,1996-10-03 00:00:00,201,30
10313,QUICK,7,1996-09-24 00:00:00,1996-10-04 00:00:00,9,80
10314,RATTC,1,1996-09-25 00:00:00,1996-10-04 00:00:00,370,80
